neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,year
Brooklyn,Kensington,Private room,149,1,9,2018.0
Manhattan,Midtown,Entire home/apt,225,1,45,2019.0
Brooklyn,Clinton Hill,Entire home/apt,89,1,270,2019.0
Manhattan,East Harlem,Entire home/apt,80,10,9,2018.0
Manhattan,Murray Hill,Entire home/apt,200,3,74,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,2017.0
Manhattan,Hell's Kitchen,Private room,79,2,430,2019.0
Manhattan,Upper West Side,Private room,79,2,118,2017.0
Manhattan,Chinatown,Entire home/apt,150,1,160,2019.0
Manhattan,Upper West Side,Entire home/apt,135,5,53,2019.0
Manhattan,Hell's Kitchen,Private room,85,2,188,2019.0
Brooklyn,South Slope,Private room,89,4,167,2019.0
Manhattan,Upper West Side,Private room,85,2,113,2019.0
Manhattan,West Village,Entire home/apt,120,90,27,2018.0
Brooklyn,Williamsburg,Entire home/apt,140,2,148,2019.0
Brooklyn,Fort Greene,Entire home/apt,215,2,198,2019.0
Manhattan,Chelsea,Private room,140,1,260,2019.0
Brooklyn,Crown Heights,Entire home/apt,99,3,53,2019.0
Brooklyn,Park Slope,Private room,130,2,130,2019.0
Brooklyn,Park Slope,Private room,80,1,39,2019.0
Brooklyn,Park Slope,Private room,110,2,71,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,2019.0
Brooklyn,Windsor Terrace,Private room,60,1,19,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,2017.0
Manhattan,Inwood,Private room,44,3,108,2019.0
Manhattan,East Village,Entire home/apt,180,14,29,2019.0
Manhattan,Harlem,Private room,50,3,242,2019.0
Manhattan,Harlem,Private room,52,2,88,2019.0
Brooklyn,Greenpoint,Private room,55,4,197,2019.0
Manhattan,Harlem,Private room,50,3,273,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,2019.0
Brooklyn,South Slope,Private room,89,4,168,2019.0
Brooklyn,Bushwick,Entire home/apt,85,2,231,2019.0
Manhattan,Lower East Side,Shared room,40,1,214,2019.0
Manhattan,East Village,Private room,68,2,245,2019.0
Brooklyn,South Slope,Entire home/apt,120,3,15,2019.0
Brooklyn,Fort Greene,Private room,120,7,25,2018.0
Manhattan,Upper West Side,Private room,135,4,81,2019.0
Manhattan,Harlem,Entire home/apt,150,7,97,2019.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,2019.0
Queens,Long Island City,Private room,130,3,248,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,2017.0
Brooklyn,Fort Greene,Private room,80,3,135,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,2019.0
Manhattan,Upper West Side,Entire home/apt,151,2,73,2019.0
Brooklyn,Williamsburg,Entire home/apt,228,3,82,2019.0
Brooklyn,Greenpoint,Entire home/apt,144,2,328,2019.0
